context_3,context_2,context_1,response
,,"Всем привет. Я не особо разбираюсь в GAN'ax, задачка такая: есть изображение (например, предмета одежды), нужно исправить дефекты, изменить форму и т.п., но при этом сохранить отличительные черты (например, надпись). Начал вникать в pix2pix, но у них ведь будут проблемы с изменением формы. Если будут идеи, а еще лучше ссылки - буду очень благодарен","посмотри GPFGAN. он конечно решает другую задачу, но по смыслу тебе подходит. там модель состоит из двух частей - первая генерит латентные вектора, вторая из них генерит картинку. можно написать свою архитектуру, а можно использовать их, но поправив код в месте генерации данных. 
причем можно сначала просто натренить GAN, а потом, заморозив его, тренить всю сетку."
,,,Как пример:
,,,"Спасибо, интересный пример. Вот только там на входе описание, а я получаю на входе только изображение. Ну может идеи получится оттуда взять"
,,"Спасибо, интересный пример. Вот только там на входе описание, а я получаю на входе только изображение. Ну может идеи получится оттуда взять","Там на вход идет картинка + описание. А задача подразумевает, что есть ограниченный и заранее определенный пул дефектов, которые нужно исправить? Просто как модель должна понять, что от нее хотят?"
,,,"Дефекты не факт что ограничены, но хотя бы чтобы некоторый набор типичных дефектов исправлялся, они могут быть в обучающей выборке"
,,"Дефекты не факт что ограничены, но хотя бы чтобы некоторый набор типичных дефектов исправлялся, они могут быть в обучающей выборке","изначально там решается задача энхансмента фотографий, но я решал другие задачи. некоторые успешно :)"
,,,"Спасибо, кажется это должно помочь"
,,"Спасибо, кажется это должно помочь","Расскажи потом, что получилось. По возможности конечно :)"
,"Спасибо, кажется это должно помочь","Расскажи потом, что получилось. По возможности конечно :)",Обязательно)
,,,"Всем привет 
Никто случайно не знает норм дешевого VPC-провайдера в Азии? Для аренды нескольких серверов на континенте, не принципиально важно в какой стране"
,,,"кода прилично. Баги могут быть много где. Как минимум 
а) в препроцессинге, особенно centercrop,
б) в том что у класса посередине, который без B4, у него какой-то слой есть, который вполне возможно нигде не инициализирован или не обучен"
,,"кода прилично. Баги могут быть много где. Как минимум 
а) в препроцессинге, особенно centercrop,
б) в том что у класса посередине, который без B4, у него какой-то слой есть, который вполне возможно нигде не инициализирован или не обучен","Понял, спасибо"
,,,"Коллеги, подскажите, насколько критично знание с++ для работы в сфере CV? Занимаюсь классическим дс, но хотел бы перекатиться, часто замечаю плюсы в вакансиях, появились сомнения"
,,"Коллеги, подскажите, насколько критично знание с++ для работы в сфере CV? Занимаюсь классическим дс, но хотел бы перекатиться, часто замечаю плюсы в вакансиях, появились сомнения",Не критично в общем случае. Очень полезно для общего понимания много чего.
,,,"C++ нужен не весь Страуструп. Достаточно того что есть в pytorch и opencv, а это наверное процентов 50 тех сложностей что есть в плюсах"
,,"C++ нужен не весь Страуструп. Достаточно того что есть в pytorch и opencv, а это наверное процентов 50 тех сложностей что есть в плюсах","Ну, в edge cv побольше и плюсов и других ( rust, go)"
,,,"Получается, что знание плюсов все же очень желательно. Хотя бы чтобы понимать, как написаны питоновские библы для cv？"
,,"Получается, что знание плюсов все же очень желательно. Хотя бы чтобы понимать, как написаны питоновские библы для cv？","да, желательно, потому что cv обычно рядом с производительным инференсом"
,,,"нет, не библы... треды в первую очередь, POSIX InterProcessCommunication... 

Ну и микроменеджмент памяти + перфоманс"
,,"нет, не библы... треды в первую очередь, POSIX InterProcessCommunication... 

Ну и микроменеджмент памяти + перфоманс","микроменеджмент не столь необходимость, сколько и необходимость и само следствие плюсов. Свой мир так скажем"
,,,"никакого ракетного знания не требуется, но минимальное рабочеее понимание очень ценно"
,,"никакого ракетного знания не требуется, но минимальное рабочеее понимание очень ценно","Понял, спасибо всем за ответы!"
,"никакого ракетного знания не требуется, но минимальное рабочеее понимание очень ценно","Понял, спасибо всем за ответы!","Сфера компьютерного зрения очень разнообразна
Знания языка помогает, например, залезть глубоко в исходники, если это необходимо
Верно говорили выше, что если это связано со встраиваемыми системами или встаёт вопрос производительности, то, конечно, знания С++ вам могут сильно пригодиться
В большинстве своём вы будете делать модельки на питоне, так что сильно переживать по этому поводу я бы не стал"
"никакого ракетного знания не требуется, но минимальное рабочеее понимание очень ценно","Понял, спасибо всем за ответы!","Сфера компьютерного зрения очень разнообразна
Знания языка помогает, например, залезть глубоко в исходники, если это необходимо
Верно говорили выше, что если это связано со встраиваемыми системами или встаёт вопрос производительности, то, конечно, знания С++ вам могут сильно пригодиться
В большинстве своём вы будете делать модельки на питоне, так что сильно переживать по этому поводу я бы не стал",да. Плюсы это больше про инференс
,,,"Всем, привет!👋
Стоит задача на основе реальных переписок(их 14 500) администратора и клиентов, научить модель вести диалог с клиентом(при помощи чат-бота). Так что бы он при общении с клиентами давал максимально близкие ответы к тем, которые давал бы администратор. Если кто то сталкивался с подобной задачей или знает какую модель лучше использовать подскажите как лучше сделать)
Буду очень признателен за любую идею, а то если честно уже не знаю как подступиться(
Всем заранее большое спасибо!"
,,"Всем, привет!👋
Стоит задача на основе реальных переписок(их 14 500) администратора и клиентов, научить модель вести диалог с клиентом(при помощи чат-бота). Так что бы он при общении с клиентами давал максимально близкие ответы к тем, которые давал бы администратор. Если кто то сталкивался с подобной задачей или знает какую модель лучше использовать подскажите как лучше сделать)
Буду очень признателен за любую идею, а то если честно уже не знаю как подступиться(
Всем заранее большое спасибо!",Я бы посмотрел просто мой доклад
,"Всем, привет!👋
Стоит задача на основе реальных переписок(их 14 500) администратора и клиентов, научить модель вести диалог с клиентом(при помощи чат-бота). Так что бы он при общении с клиентами давал максимально близкие ответы к тем, которые давал бы администратор. Если кто то сталкивался с подобной задачей или знает какую модель лучше использовать подскажите как лучше сделать)
Буду очень признателен за любую идею, а то если честно уже не знаю как подступиться(
Всем заранее большое спасибо!",Я бы посмотрел просто мой доклад,"Привет! Я бы посмотрел, а можно ссылку?)"
"Всем, привет!👋
Стоит задача на основе реальных переписок(их 14 500) администратора и клиентов, научить модель вести диалог с клиентом(при помощи чат-бота). Так что бы он при общении с клиентами давал максимально близкие ответы к тем, которые давал бы администратор. Если кто то сталкивался с подобной задачей или знает какую модель лучше использовать подскажите как лучше сделать)
Буду очень признателен за любую идею, а то если честно уже не знаю как подступиться(
Всем заранее большое спасибо!",Я бы посмотрел просто мой доклад,"Привет! Я бы посмотрел, а можно ссылку?)",https://youtu.be/eoo5Kom7FXE
Я бы посмотрел просто мой доклад,"Привет! Я бы посмотрел, а можно ссылку?)",https://youtu.be/eoo5Kom7FXE,не исчерпывающее видео
"Привет! Я бы посмотрел, а можно ссылку?)",https://youtu.be/eoo5Kom7FXE,не исчерпывающее видео,Что ещё не хватило? Отсыплю еще
https://youtu.be/eoo5Kom7FXE,не исчерпывающее видео,Что ещё не хватило? Отсыплю еще,Конкретно по вопросу Сергея. Модели бы хорошо ещё уметь задавать наводящие или уточняющие вопросы
не исчерпывающее видео,Что ещё не хватило? Отсыплю еще,Конкретно по вопросу Сергея. Модели бы хорошо ещё уметь задавать наводящие или уточняющие вопросы,"Это вопрос логики, какую ты реализуешь"
Что ещё не хватило? Отсыплю еще,Конкретно по вопросу Сергея. Модели бы хорошо ещё уметь задавать наводящие или уточняющие вопросы,"Это вопрос логики, какую ты реализуешь",так можно было ответить и на вопрос Сергея)
,,,"👋🏼👋🏼
Подскажите плиз у меня есть модель которая запускается через torchrun и он дает создает окружение для запуска модели, которая требует сразу два GPU. Как для такой модели написать api? Запуск сервера с torchrun не дает модели работать (возможно один из процессов блочится из за сокетов). Кто работал с таким? Заранее спасибо’"
,,"👋🏼👋🏼
Подскажите плиз у меня есть модель которая запускается через torchrun и он дает создает окружение для запуска модели, которая требует сразу два GPU. Как для такой модели написать api? Запуск сервера с torchrun не дает модели работать (возможно один из процессов блочится из за сокетов). Кто работал с таким? Заранее спасибо’","Раз есть диалоги, обратил внимание на наш подход"
,,,Можно конечно попытаться GPT тюн
,,Можно конечно попытаться GPT тюн,"Я попробовал, но вместо чёткого ответа на мой вопрос, выдает ответ и тут же  еще один ответ и вопрос и все это не очень связано между собой."
,Можно конечно попытаться GPT тюн,"Я попробовал, но вместо чёткого ответа на мой вопрос, выдает ответ и тут же  еще один ответ и вопрос и все это не очень связано между собой.",Ожидаемо)
,,,А можно подробней про оформление ответов в базу FAQ?
,,А можно подробней про оформление ответов в базу FAQ?,В видео как раз есть об этом
,А можно подробней про оформление ответов в базу FAQ?,В видео как раз есть об этом,Спасибо
,,,".
Ребят, ищу репетитора для подготовки в ШАД по математической части. Был бы благодарен любым предложениям."
,,,Ищу репетитора для подготовки в ШАД по математической части. Буду рад любым предложениям 🤝
,,Ищу репетитора для подготовки в ШАД по математической части. Буду рад любым предложениям 🤝,300кк/наносек готов?)
,Ищу репетитора для подготовки в ШАД по математической части. Буду рад любым предложениям 🤝,300кк/наносек готов?),Если в тенге то го
,,,Ищу репетитора для подготовки в ШАД. Буду рад любым предложениям
,,,Ищу репетитора для подготовки в ШАД. Буду рад любым предложениям.
,,Ищу репетитора для подготовки в ШАД. Буду рад любым предложениям.,"предлагаю заботать самому, очень мощным станешь"
,Ищу репетитора для подготовки в ШАД. Буду рад любым предложениям.,"предлагаю заботать самому, очень мощным станешь","ваша правда, но думаю попробовать с репетитором, может лучше получится. Не хотелось бы рисковать не поступить"
,,,🥴
,,🥴,Побываешь в Яндекс и тп поймёшь
,,,"А ты смотрел хоть? Слушал внимательно?
Если бы слушал - такой реакции на было бы"
,,,Это сетки сверху ОДНОЙ модельки
,,Это сетки сверху ОДНОЙ модельки,"я сразу и хотел спросить, почему не multi task)"
,,,Считай К голов
,,,это ты дальше рассказываешь
,,это ты дальше рассказываешь,"Потому, что далее смотреть)"
,,,"кажется что здесь ты вряд-ли найдешь, попробуй поискать консультации по каждой дисциплине отдельно при этом начав ""ботать"" эту тему самостоятельно
хотя мож тебе и повезет, найдешь прям репетитора репетитора"
,,"кажется что здесь ты вряд-ли найдешь, попробуй поискать консультации по каждой дисциплине отдельно при этом начав ""ботать"" эту тему самостоятельно
хотя мож тебе и повезет, найдешь прям репетитора репетитора","Спасибо за совет! Только начал поиски, на удивление люди отвечают, и даже советуют инфу полезную. Надеюсь все же найду репетитора"
,"кажется что здесь ты вряд-ли найдешь, попробуй поискать консультации по каждой дисциплине отдельно при этом начав ""ботать"" эту тему самостоятельно
хотя мож тебе и повезет, найдешь прям репетитора репетитора","Спасибо за совет! Только начал поиски, на удивление люди отвечают, и даже советуют инфу полезную. Надеюсь все же найду репетитора","Всем привет, есть здесь те, кто хочет поступить на магистратуру или учится на ней? 

Есть предложение по сотрудничеству с написанием статей для получения доп. баллов по конкурсу. Имеется опыт написания статей.

Есть также предложение совместно ботать материал по анализу данных и ML в небольшом комьюнити энтузиастов."
,,,"Есть у кого опыт Лоры для WizardCoder?

ну или куда смотреть? )"
,,"Есть у кого опыт Лоры для WizardCoder?

ну или куда смотреть? )",https://github.com/shibing624/CodeAssist/blob/main/codeassist/wizard_coder.py
,,,Хороший курс от одс по nlp?
,,Хороший курс от одс по nlp?,"ребят помогите пожалуйста
нужно купить подписку на колаб, как ее можно оплатить сейчас?"
,,,"Всем привет. Может кто посоветовать материалы для разработки NPC в играх с помощью Reinforcement Learning и т.д. Желательно курсы, но можно и учебники (язык не важен) Спасибо заранее"
,,"Всем привет. Может кто посоветовать материалы для разработки NPC в играх с помощью Reinforcement Learning и т.д. Желательно курсы, но можно и учебники (язык не важен) Спасибо заранее","Есть еще книга Саттон, Обучение с подкреплением. Сам не читал, знаю что знаковая, и знаю что не для начинающих"
,,,"на нашел ссылку на запись в чате, может кто поделится из добрых людей 🙏"
,,,"Ребят, а подскажите: есть ли коипарайтеры какие-нибудь (или это джуны?), которые могут помочь наполнить DS блог постами? (на англ) темы даже есть примерные

Как вообще к этому подступиться правильно?"
,,"Ребят, а подскажите: есть ли коипарайтеры какие-нибудь (или это джуны?), которые могут помочь наполнить DS блог постами? (на англ) темы даже есть примерные

Как вообще к этому подступиться правильно?",Parsing  medium + ChatGPT рерайт?
,,,"Ребят можете помочь, какие курсы посоветуете по ML?"
,,"Ребят можете помочь, какие курсы посоветуете по ML?",смотря какие предварительные знания и какие запросы/ожидания от курса (нужно больше конкретики)
,"Ребят можете помочь, какие курсы посоветуете по ML?",смотря какие предварительные знания и какие запросы/ожидания от курса (нужно больше конкретики),"Ожидания, научиться понимать какой алгоритм стоит использовать для определенной стратегии
И как в целом данные обрабатывать перед тем как засовывать в машинку"
"Ребят можете помочь, какие курсы посоветуете по ML?",смотря какие предварительные знания и какие запросы/ожидания от курса (нужно больше конкретики),"Ожидания, научиться понимать какой алгоритм стоит использовать для определенной стратегии
И как в целом данные обрабатывать перед тем как засовывать в машинку","ну про ""алгоритмы для определенной стратегии"" хз, у меня есть подозрение что открытых не булщитных курсов про мл в финансах нет, только если какие-то книжки/сборники статей. Если в целом про классический табличный мл с точки зрения сколько-нибудь прикладной теории, то людям с нормальной математической подготовкой я обычно советую курсы Воронцова или Соколова, там все есть. Но понимание, когда в практических задачах что юзать и что действительно хорошо работает/не работает в плане фича инжиниринга можно к сожалению почерпнуть только на практике (работа или каггл/любые другие контесты), я особо не видел открытых бесплатных курсов, в которых были бы какие-то похожие на боевые датасеты и задачи. Курсы это все ж больше про теорию + освоение какого-то базового практического инструментария и понимания что делать в основном нельзя, а что в основном можно"
смотря какие предварительные знания и какие запросы/ожидания от курса (нужно больше конкретики),"Ожидания, научиться понимать какой алгоритм стоит использовать для определенной стратегии
И как в целом данные обрабатывать перед тем как засовывать в машинку","ну про ""алгоритмы для определенной стратегии"" хз, у меня есть подозрение что открытых не булщитных курсов про мл в финансах нет, только если какие-то книжки/сборники статей. Если в целом про классический табличный мл с точки зрения сколько-нибудь прикладной теории, то людям с нормальной математической подготовкой я обычно советую курсы Воронцова или Соколова, там все есть. Но понимание, когда в практических задачах что юзать и что действительно хорошо работает/не работает в плане фича инжиниринга можно к сожалению почерпнуть только на практике (работа или каггл/любые другие контесты), я особо не видел открытых бесплатных курсов, в которых были бы какие-то похожие на боевые датасеты и задачи. Курсы это все ж больше про теорию + освоение какого-то базового практического инструментария и понимания что делать в основном нельзя, а что в основном можно","а, вспомнил, что-то похожее быть может это прикладной анализ данных дьяконова (на ютубе есть), у него оч своеобразный стиль изложения, но там как раз про все эти вещи которые традиционные курсы обычно игнорируют или упоминают вскользь"
"Ожидания, научиться понимать какой алгоритм стоит использовать для определенной стратегии
И как в целом данные обрабатывать перед тем как засовывать в машинку","ну про ""алгоритмы для определенной стратегии"" хз, у меня есть подозрение что открытых не булщитных курсов про мл в финансах нет, только если какие-то книжки/сборники статей. Если в целом про классический табличный мл с точки зрения сколько-нибудь прикладной теории, то людям с нормальной математической подготовкой я обычно советую курсы Воронцова или Соколова, там все есть. Но понимание, когда в практических задачах что юзать и что действительно хорошо работает/не работает в плане фича инжиниринга можно к сожалению почерпнуть только на практике (работа или каггл/любые другие контесты), я особо не видел открытых бесплатных курсов, в которых были бы какие-то похожие на боевые датасеты и задачи. Курсы это все ж больше про теорию + освоение какого-то базового практического инструментария и понимания что делать в основном нельзя, а что в основном можно","а, вспомнил, что-то похожее быть может это прикладной анализ данных дьяконова (на ютубе есть), у него оч своеобразный стиль изложения, но там как раз про все эти вещи которые традиционные курсы обычно игнорируют или упоминают вскользь","Понял, спасибо большое)"
,,,"Работаю стажером квантом в инвест фонде, знаю питончик (pandas, sklearn, matplotlib etc..) , sql, матанчик и немного статистики"
,,,"ну и в целом еще есть подозрение что ""для стратегий в инвест фонде"" стоит не мл курсы смотреть, а читать книжки по эконометрике и анализу временных рядов"
,,"ну и в целом еще есть подозрение что ""для стратегий в инвест фонде"" стоит не мл курсы смотреть, а читать книжки по эконометрике и анализу временных рядов","Можешь посоветовать книжечки, пожалуйста🥺"
,,,"Всем привет! Подскажите, пожалуйста, стоит ли добавлять в pipeline ocr сканов документов детекцию самого документа на фоне (обычно он белый, так как скан)? Или можно и так скармливать модельки сегментации? 
Вопрос возник по причине того, что  нужно делать ресайз скана для подачи в сегментацию, а там сам документ может лежать как угодно прозвольно и занимать разный масштаб от исходного фона."
,,,накидай вариантов
,,накидай вариантов,"Да самый простой если нужны уточнения, сделать Intent recognition. А там уже с ним работать на уровне rules"
,,,интересно
,,интересно,"Если хочется актов диалоговых, можно делать их тоже контекстными с аннотатором change topic/action+диалоговая моделька"
,интересно,"Если хочется актов диалоговых, можно делать их тоже контекстными с аннотатором change topic/action+диалоговая моделька","В каждой организации своё смысловое наполнение
У нас, например, есть отдельно Bi (de), а есть отдельно mlops
Первые занимаются:
1. ETL
2. Подключением разных баз данных к корпоративному хранилищу данных. В том числе подключают нереляционные базы
3. Сборкой объёмных и сложных витрин + написанием документации по ним и поддержанием SLA по ним
4. Проектированием инфологических схем для различных бизнес-сущностей
Mlops - немного другой вектор:
1. Помощь дата-сайентистам в выкатке моделей в продакшен
2. Поддержание работоспособности модели на протяжении всего её жизненного цикла, переобучение (для актуализации параметров), контроль работоспособности модели во времени
Вторые с точки зрения данных для моделек живут в основном на спарке, но это чисто наша корпоративная история
У первых ещё есть, как правило, проблема с качеством данных, не во всех компаниях есть фокус и проработанная политика по поддержанию качества данных
Первые, как правило, работают с широким спектром инструментов для создания бизнес-отчётности, в том числе olap-кубы, дашборды.
Что касается спарка, развёрнутого на хадупе, то его вместе с ETL поддерживает отдельная команда."
интересно,"Если хочется актов диалоговых, можно делать их тоже контекстными с аннотатором change topic/action+диалоговая моделька","В каждой организации своё смысловое наполнение
У нас, например, есть отдельно Bi (de), а есть отдельно mlops
Первые занимаются:
1. ETL
2. Подключением разных баз данных к корпоративному хранилищу данных. В том числе подключают нереляционные базы
3. Сборкой объёмных и сложных витрин + написанием документации по ним и поддержанием SLA по ним
4. Проектированием инфологических схем для различных бизнес-сущностей
Mlops - немного другой вектор:
1. Помощь дата-сайентистам в выкатке моделей в продакшен
2. Поддержание работоспособности модели на протяжении всего её жизненного цикла, переобучение (для актуализации параметров), контроль работоспособности модели во времени
Вторые с точки зрения данных для моделек живут в основном на спарке, но это чисто наша корпоративная история
У первых ещё есть, как правило, проблема с качеством данных, не во всех компаниях есть фокус и проработанная политика по поддержанию качества данных
Первые, как правило, работают с широким спектром инструментов для создания бизнес-отчётности, в том числе olap-кубы, дашборды.
Что касается спарка, развёрнутого на хадупе, то его вместе с ETL поддерживает отдельная команда.","Посмотрю на качество, спасибо)"
,,,"Привет! Может кто шарит за трекинг объектов при низкой частоте кадров? Необходимо затрекать дорожные знаки, но камера снимает около 5 кадров в секунду, вследствие чего iou боксов на соседних кадрах нулевое. Из всего что пробовал, более менее заработал костыльно-модифицированный SORT с искусственно увеличенным размером боксов. Работает, но не достаточно стабильно. Может кто сталкивался с похожей задачей? Желательно с реализацией на cpp."
,,"Привет! Может кто шарит за трекинг объектов при низкой частоте кадров? Необходимо затрекать дорожные знаки, но камера снимает около 5 кадров в секунду, вследствие чего iou боксов на соседних кадрах нулевое. Из всего что пробовал, более менее заработал костыльно-модифицированный SORT с искусственно увеличенным размером боксов. Работает, но не достаточно стабильно. Может кто сталкивался с похожей задачей? Желательно с реализацией на cpp.","Добавьте реализацию мэтчинга фичей из самой картинки как в deepsort
Я такую штуку для рук делал - работало"
,"Привет! Может кто шарит за трекинг объектов при низкой частоте кадров? Необходимо затрекать дорожные знаки, но камера снимает около 5 кадров в секунду, вследствие чего iou боксов на соседних кадрах нулевое. Из всего что пробовал, более менее заработал костыльно-модифицированный SORT с искусственно увеличенным размером боксов. Работает, но не достаточно стабильно. Может кто сталкивался с похожей задачей? Желательно с реализацией на cpp.","Добавьте реализацию мэтчинга фичей из самой картинки как в deepsort
Я такую штуку для рук делал - работало",А как считали метрики для фичей?
,,,"Думаю стоит посмотреть object centric сортеры. Они без Калмана, чисто на эмбеддингах объектов. Скорости не добавит конечно, но сортировать должно норм"
,,"Думаю стоит посмотреть object centric сортеры. Они без Калмана, чисто на эмбеддингах объектов. Скорости не добавит конечно, но сортировать должно норм",в плюсы потолкать через opencv dnn onnx можно помаяться технически
,,,"Смотри, SORT и иже с ним работает примерно так: детектирует объекты, сравнивает их со всеми предыдущими, из этих расстояний строит матрицу, которую отправляет в Венгерский алгоритм для поиска оптимальных паросочетаний (минимального потока в двудольном графе, где одна доля - детекции, а другая - прошлые треки).
Как формировать матрицу - это твоё дело, IOU лишь один из вариантов. Он удобен только для достаточно больших объектов, которые не сильно быстры относительно fps камеры.
Что ещё можно подставлять в матрицу расстояний вместо IoU:
- расстояние между центрами объектов (лучше нормировать);
- расстояние между прямоугольниками объектов;
- если была instance segmentation и форма объектов устойчива (а у знаков она устойчива), то расстояние между контурами объектов;
- идём глубже, а именно расстояние между эмбеддингами объектов.

Теперь усложняем, делаем расстояние в виде линейной комбинации других расстояний. Например, 0.5IoU + 0.5D(embeddings) = DeepSORT

По сути, всё просто"
,,"Смотри, SORT и иже с ним работает примерно так: детектирует объекты, сравнивает их со всеми предыдущими, из этих расстояний строит матрицу, которую отправляет в Венгерский алгоритм для поиска оптимальных паросочетаний (минимального потока в двудольном графе, где одна доля - детекции, а другая - прошлые треки).
Как формировать матрицу - это твоё дело, IOU лишь один из вариантов. Он удобен только для достаточно больших объектов, которые не сильно быстры относительно fps камеры.
Что ещё можно подставлять в матрицу расстояний вместо IoU:
- расстояние между центрами объектов (лучше нормировать);
- расстояние между прямоугольниками объектов;
- если была instance segmentation и форма объектов устойчива (а у знаков она устойчива), то расстояние между контурами объектов;
- идём глубже, а именно расстояние между эмбеддингами объектов.

Теперь усложняем, делаем расстояние в виде линейной комбинации других расстояний. Например, 0.5IoU + 0.5D(embeddings) = DeepSORT

По сути, всё просто","сейчас будет капитанство, но если тебе нужен репетитор для подготовки к шаду, то ты и так рискуешь не поступить"
